measurement_id,run_id,sensor_id,t_seconds,temperature_c,ambient_c
74986,375,S3,555.0,22.423,20.91
74987,375,S3,558.0,22.494,20.91
74988,375,S3,561.0,22.411,20.91
74989,375,S3,564.0,22.414,20.91
74990,375,S3,567.0,22.298,20.91
74991,375,S3,570.0,22.220,20.91
74992,375,S3,573.0,22.293,20.91
74993,375,S3,576.0,22.114,20.91
74994,375,S3,579.0,22.189,20.91
74995,375,S3,582.0,22.269,20.91
74996,375,S3,585.0,22.122,20.91
74997,375,S3,588.0,22.108,20.91
74998,375,S3,591.0,22.016,20.91
74999,375,S3,594.0,22.071,20.91
75000,375,S3,597.0,22.016,20.91
75001,376,S4,0.0,87.272,22.44
75002,376,S4,3.0,85.821,22.44
75003,376,S4,6.0,84.375,22.44
75004,376,S4,9.0,82.967,22.44
75005,376,S4,12.0,81.711,22.44
75006,376,S4,15.0,80.353,22.44
75007,376,S4,18.0,79.101,22.44
75008,376,S4,21.0,77.820,22.44
75009,376,S4,24.0,76.636,22.44
75010,376,S4,27.0,75.356,22.44
75011,376,S4,30.0,74.126,22.44
75012,376,S4,33.0,73.119,22.44
75013,376,S4,36.0,71.851,22.44
75014,376,S4,39.0,70.861,22.44
75015,376,S4,42.0,69.798,22.44
75016,376,S4,45.0,68.753,22.44
75017,376,S4,48.0,67.655,22.44
75018,376,S4,51.0,66.728,22.44
75019,376,S4,54.0,65.665,22.44
75020,376,S4,57.0,64.636,22.44
75021,376,S4,60.0,63.903,22.44
75022,376,S4,63.0,62.937,22.44
75023,376,S4,66.0,62.010,22.44
75024,376,S4,69.0,61.001,22.44
75025,376,S4,72.0,60.226,22.44
75026,376,S4,75.0,59.407,22.44
75027,376,S4,78.0,58.576,22.44
75028,376,S4,81.0,57.753,22.44
75029,376,S4,84.0,56.894,22.44
75030,376,S4,87.0,56.187,22.44
75031,376,S4,90.0,55.461,22.44
75032,376,S4,93.0,54.675,22.44
75033,376,S4,96.0,53.991,22.44
75034,376,S4,99.0,53.361,22.44
75035,376,S4,102.0,52.585,22.44
75036,376,S4,105.0,51.965,22.44
75037,376,S4,108.0,51.287,22.44
75038,376,S4,111.0,50.584,22.44
75039,376,S4,114.0,50.092,22.44
75040,376,S4,117.0,49.420,22.44
75041,376,S4,120.0,48.851,22.44
75042,376,S4,123.0,48.178,22.44
75043,376,S4,126.0,47.740,22.44
75044,376,S4,129.0,47.078,22.44
75045,376,S4,132.0,46.631,22.44
75046,376,S4,135.0,46.052,22.44
75047,376,S4,138.0,45.485,22.44
75048,376,S4,141.0,45.011,22.44
75049,376,S4,144.0,44.613,22.44
75050,376,S4,147.0,44.020,22.44
75051,376,S4,150.0,43.512,22.44
75052,376,S4,153.0,43.044,22.44
75053,376,S4,156.0,42.659,22.44
75054,376,S4,159.0,42.124,22.44
75055,376,S4,162.0,41.699,22.44
75056,376,S4,165.0,41.312,22.44
75057,376,S4,168.0,40.868,22.44
75058,376,S4,171.0,40.486,22.44
75059,376,S4,174.0,40.032,22.44
75060,376,S4,177.0,39.698,22.44
75061,376,S4,180.0,39.292,22.44
75062,376,S4,183.0,38.832,22.44
75063,376,S4,186.0,38.615,22.44
75064,376,S4,189.0,38.134,22.44
75065,376,S4,192.0,37.834,22.44
75066,376,S4,195.0,37.507,22.44
75067,376,S4,198.0,37.169,22.44
75068,376,S4,201.0,36.852,22.44
75069,376,S4,204.0,36.430,22.44
75070,376,S4,207.0,36.135,22.44
75071,376,S4,210.0,35.968,22.44
75072,376,S4,213.0,35.492,22.44
75073,376,S4,216.0,35.347,22.44
75074,376,S4,219.0,35.053,22.44
75075,376,S4,222.0,34.710,22.44
75076,376,S4,225.0,34.540,22.44
75077,376,S4,228.0,34.147,22.44
75078,376,S4,231.0,33.985,22.44
75079,376,S4,234.0,33.746,22.44
75080,376,S4,237.0,33.453,22.44
75081,376,S4,240.0,33.206,22.44
75082,376,S4,243.0,32.957,22.44
75083,376,S4,246.0,32.686,22.44
75084,376,S4,249.0,32.462,22.44
75085,376,S4,252.0,32.167,22.44
75086,376,S4,255.0,32.031,22.44
75087,376,S4,258.0,31.858,22.44
75088,376,S4,261.0,31.636,22.44
75089,376,S4,264.0,31.546,22.44
75090,376,S4,267.0,31.198,22.44
75091,376,S4,270.0,31.015,22.44
75092,376,S4,273.0,30.815,22.44
75093,376,S4,276.0,30.655,22.44
75094,376,S4,279.0,30.450,22.44
75095,376,S4,282.0,30.350,22.44
75096,376,S4,285.0,30.209,22.44
75097,376,S4,288.0,29.972,22.44
75098,376,S4,291.0,29.645,22.44
75099,376,S4,294.0,29.660,22.44
75100,376,S4,297.0,29.453,22.44
75101,376,S4,300.0,29.295,22.44
75102,376,S4,303.0,29.117,22.44
75103,376,S4,306.0,28.994,22.44
75104,376,S4,309.0,28.797,22.44
75105,376,S4,312.0,28.617,22.44
75106,376,S4,315.0,28.584,22.44
75107,376,S4,318.0,28.374,22.44
75108,376,S4,321.0,28.320,22.44
75109,376,S4,324.0,28.202,22.44
75110,376,S4,327.0,28.059,22.44
75111,376,S4,330.0,27.888,22.44
75112,376,S4,333.0,27.744,22.44
75113,376,S4,336.0,27.731,22.44
75114,376,S4,339.0,27.490,22.44
75115,376,S4,342.0,27.460,22.44
75116,376,S4,345.0,27.242,22.44
75117,376,S4,348.0,27.128,22.44
75118,376,S4,351.0,27.140,22.44
75119,376,S4,354.0,27.023,22.44
75120,376,S4,357.0,26.932,22.44
75121,376,S4,360.0,26.779,22.44
75122,376,S4,363.0,26.713,22.44
75123,376,S4,366.0,26.672,22.44
75124,376,S4,369.0,26.526,22.44
75125,376,S4,372.0,26.406,22.44
75126,376,S4,375.0,26.408,22.44
75127,376,S4,378.0,26.295,22.44
75128,376,S4,381.0,26.284,22.44
75129,376,S4,384.0,26.148,22.44
75130,376,S4,387.0,26.034,22.44
75131,376,S4,390.0,25.970,22.44
75132,376,S4,393.0,25.875,22.44
75133,376,S4,396.0,25.754,22.44
75134,376,S4,399.0,25.792,22.44
75135,376,S4,402.0,25.674,22.44
75136,376,S4,405.0,25.519,22.44
75137,376,S4,408.0,25.496,22.44
75138,376,S4,411.0,25.471,22.44
75139,376,S4,414.0,25.275,22.44
75140,376,S4,417.0,25.295,22.44
75141,376,S4,420.0,25.208,22.44
75142,376,S4,423.0,25.146,22.44
75143,376,S4,426.0,25.069,22.44
75144,376,S4,429.0,25.052,22.44
75145,376,S4,432.0,24.907,22.44
75146,376,S4,435.0,24.939,22.44
75147,376,S4,438.0,24.821,22.44
75148,376,S4,441.0,24.776,22.44
75149,376,S4,444.0,24.751,22.44
75150,376,S4,447.0,24.722,22.44
75151,376,S4,450.0,24.626,22.44
75152,376,S4,453.0,24.684,22.44
75153,376,S4,456.0,24.572,22.44
75154,376,S4,459.0,24.492,22.44
75155,376,S4,462.0,24.374,22.44
75156,376,S4,465.0,24.530,22.44
75157,376,S4,468.0,24.399,22.44
75158,376,S4,471.0,24.338,22.44
75159,376,S4,474.0,24.271,22.44
75160,376,S4,477.0,24.238,22.44
75161,376,S4,480.0,24.139,22.44
75162,376,S4,483.0,24.269,22.44
75163,376,S4,486.0,24.118,22.44
75164,376,S4,489.0,24.176,22.44
75165,376,S4,492.0,24.152,22.44
75166,376,S4,495.0,24.072,22.44
75167,376,S4,498.0,23.955,22.44
75168,376,S4,501.0,24.003,22.44
75169,376,S4,504.0,23.919,22.44
75170,376,S4,507.0,23.933,22.44
75171,376,S4,510.0,23.825,22.44
75172,376,S4,513.0,23.905,22.44
75173,376,S4,516.0,23.771,22.44
75174,376,S4,519.0,23.727,22.44
75175,376,S4,522.0,23.722,22.44
75176,376,S4,525.0,23.673,22.44
75177,376,S4,528.0,23.699,22.44
75178,376,S4,531.0,23.661,22.44
75179,376,S4,534.0,23.609,22.44
75180,376,S4,537.0,23.677,22.44
75181,376,S4,540.0,23.607,22.44
75182,376,S4,543.0,23.592,22.44
75183,376,S4,546.0,23.524,22.44
75184,376,S4,549.0,23.499,22.44
75185,376,S4,552.0,23.517,22.44
75186,376,S4,555.0,23.389,22.44
75187,376,S4,558.0,23.508,22.44
75188,376,S4,561.0,23.464,22.44
75189,376,S4,564.0,23.391,22.44
75190,376,S4,567.0,23.361,22.44
75191,376,S4,570.0,23.231,22.44
75192,376,S4,573.0,23.325,22.44
75193,376,S4,576.0,23.351,22.44
75194,376,S4,579.0,23.293,22.44
75195,376,S4,582.0,23.288,22.44
75196,376,S4,585.0,23.211,22.44
75197,376,S4,588.0,23.171,22.44
75198,376,S4,591.0,23.208,22.44
75199,376,S4,594.0,23.217,22.44
75200,376,S4,597.0,23.275,22.44
75201,377,S1,0.0,74.384,22.68
75202,377,S1,3.0,73.504,22.68
75203,377,S1,6.0,72.547,22.68
75204,377,S1,9.0,71.699,22.68
75205,377,S1,12.0,70.687,22.68
75206,377,S1,15.0,69.976,22.68
75207,377,S1,18.0,69.012,22.68
75208,377,S1,21.0,68.285,22.68
75209,377,S1,24.0,67.541,22.68
75210,377,S1,27.0,66.662,22.68
75211,377,S1,30.0,65.926,22.68
75212,377,S1,33.0,65.194,22.68
75213,377,S1,36.0,64.461,22.68
